,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
488,30-03-2020,9:30 PM,Maharashtra,25,8,198
516,31-03-2020,8:30 PM,Maharashtra,39,9,216
546,01-04-2020,7:30 PM,Maharashtra,39,9,302
575,02-04-2020,6:00 PM,Maharashtra,42,13,335
605,03-04-2020,6:00 PM,Maharashtra,42,16,335
636,04-04-2020,6:00 PM,Maharashtra,42,24,490
666,05-04-2020,6:00 PM,Maharashtra,42,24,490
696,06-04-2020,6:00 PM,Maharashtra,56,45,748
726,07-04-2020,6:00 PM,Maharashtra,56,48,868
757,08-04-2020,5:00 PM,Maharashtra,79,64,1018
788,09-04-2020,5:00 PM,Maharashtra,117,72,1135
819,10-04-2020,5:00 PM,Maharashtra,125,97,1364
850,11-04-2020,5:00 PM,Maharashtra,188,110,1574
881,12-04-2020,5:00 PM,Maharashtra,208,127,1761
912,13-04-2020,5:00 PM,Maharashtra,217,149,1985
944,14-04-2020,5:00 PM,Maharashtra,229,160,2337
977,15-04-2020,5:00 PM,Maharashtra,259,178,2687
1010,16-04-2020,5:00 PM,Maharashtra,295,187,2919
1043,17-04-2020,5:00 PM,Maharashtra,300,194,3205
1076,18-04-2020,5:00 PM,Maharashtra,331,201,3323
1109,19-04-2020,5:00 PM,Maharashtra,365,211,3651
1142,20-04-2020,5:00 PM,Maharashtra,507,223,4203
1175,21-04-2020,5:00 PM,Maharashtra,572,232,4669
1208,22-04-2020,5:00 PM,Maharashtra,722,251,5221
1240,23-04-2020,5:00 PM,Maharashtra,789,269,5652
1272,24-04-2020,5:00 PM,Maharashtra,840,283,6430
1304,25-04-2020,5:00 PM,Maharashtra,957,301,6817
1336,26-04-2020,5:00 PM,Maharashtra,1076,323,7628
1368,27-04-2020,5:00 PM,Maharashtra,1188,342,8068
1400,28-04-2020,5:00 PM,Maharashtra,1282,369,8590
1432,29-04-2020,5:00 PM,Maharashtra,1388,400,9318
1464,30-04-2020,5:00 PM,Maharashtra,1593,432,9915
1496,01-05-2020,5:00 PM,Maharashtra,1773,459,10498
1528,02-05-2020,5:00 PM,Maharashtra,1879,485,11506
1560,03-05-2020,5:00 PM,Maharashtra,2000,521,12296
1592,04-05-2020,5:00 PM,Maharashtra,2115,548,12974
1624,05-05-2020,5:00 PM,Maharashtra,2465,583,14541
1657,06-05-2020,8:00 AM,Maharashtra,2819,617,15525
1690,07-05-2020,8:00 AM,Maharashtra,3094,651,16758
1723,08-05-2020,8:00 AM,Maharashtra,3301,694,17974
1756,09-05-2020,8:00 AM,Maharashtra,3470,731,19063
1789,10-05-2020,8:00 AM,Maharashtra,3800,779,20228
1822,11-05-2020,8:00 AM,Maharashtra,4199,832,22171
1855,12-05-2020,8:00 AM,Maharashtra,4786,868,23401
1888,13-05-2020,8:00 AM,Maharashtra,5125,921,24427
1921,14-05-2020,8:00 AM,Maharashtra,5547,975,25922
1954,15-05-2020,8:00 AM,Maharashtra,6059,1019,27524
1987,16-05-2020,8:00 AM,Maharashtra,6564,1068,29100
2020,17-05-2020,8:00 AM,Maharashtra,7088,1135,30706
2053,18-05-2020,8:00 AM,Maharashtra,7688,1198,33053
2086,19-05-2020,8:00 AM,Maharashtra,8437,1249,35058
2119,20-05-2020,8:00 AM,Maharashtra,9639,1325,37136
2153,21-05-2020,8:00 AM,Maharashtra,10318,1390,39297
2187,22-05-2020,8:00 AM,Maharashtra,11726,1454,41642
2221,23-05-2020,8:00 AM,Maharashtra,12583,1517,44582
2255,24-05-2020,8:00 AM,Maharashtra,13404,1577,47190
2290,25-05-2020,8:00 AM,Maharashtra,14600,1635,50231
2325,26-05-2020,8:00 AM,Maharashtra,15786,1695,52667
2361,27-05-2020,8:00 AM,Maharashtra,16954,1792,54758
2397,28-05-2020,8:00 AM,Maharashtra,17918,1897,56948
2433,29-05-2020,8:00 AM,Maharashtra,18616,1982,59546
2469,30-05-2020,8:00 AM,Maharashtra,26997,2098,62228
2505,31-05-2020,8:00 AM,Maharashtra,28081,2197,65168
2541,01-06-2020,8:00 AM,Maharashtra,29329,2286,67655
2577,02-06-2020,8:00 AM,Maharashtra,30108,2362,70013
2613,03-06-2020,8:00 AM,Maharashtra,31333,2465,72300
2649,04-06-2020,8:00 AM,Maharashtra,32329,2587,74860
2685,05-06-2020,8:00 AM,Maharashtra,33681,2710,77793
2721,06-06-2020,8:00 AM,Maharashtra,35156,2849,80229
2757,07-06-2020,8:00 AM,Maharashtra,37390,2969,82968
2793,08-06-2020,8:00 AM,Maharashtra,39314,3060,85975
2829,09-06-2020,8:00 AM,Maharashtra,40975,3169,88528
2865,10-06-2020,8:00 AM,Maharashtra,42638,3289,90787
2902,11-06-2020,8:00 AM,Maharashtra,44517,3438,94041
2938,12-06-2020,8:00 AM,Maharashtra,46078,3590,97648
2974,13-06-2020,8:00 AM,Maharashtra,47796,3717,101141
3010,14-06-2020,8:00 AM,Maharashtra,49346,3830,104568
3046,15-06-2020,8:00 AM,Maharashtra,50978,3950,107958
3082,16-06-2020,8:00 AM,Maharashtra,56049,4128,110744
