,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
59,07-03-2020,6:00 PM,Ladakh,0,0,2
65,08-03-2020,6:00 PM,Ladakh,0,0,2
73,09-03-2020,6:00 PM,Ladakh,0,0,2
86,10-03-2020,6:00 PM,Ladakh,0,0,2
104,11-03-2020,6:00 PM,Ladakh,0,0,2
115,12-03-2020,6:00 PM,Ladakh,0,0,3
128,13-03-2020,6:00 PM,Ladakh,0,0,3
141,14-03-2020,6:00 PM,Ladakh,0,0,3
159,15-03-2020,6:00 PM,Ladakh,0,0,3
174,16-03-2020,6:00 PM,Ladakh,0,0,4
189,17-03-2020,6:00 PM,Ladakh,0,0,6
205,18-03-2020,6:00 PM,Ladakh,0,0,8
224,19-03-2020,6:00 PM,Ladakh,0,0,8
244,20-03-2020,6:00 PM,Ladakh,0,0,10
266,21-03-2020,6:00 PM,Ladakh,0,0,13
289,22-03-2020,6:00 PM,Ladakh,0,0,13
312,23-03-2020,6:00 PM,Ladakh,0,0,13
336,24-03-2020,6:00 PM,Ladakh,0,0,13
361,25-03-2020,6:00 PM,Ladakh,0,0,13
378,26-03-2020,6:00 PM,Ladakh,0,0,13
405,27-03-2020,10:00 AM,Ladakh,3,0,13
432,28-03-2020,6:00 PM,Ladakh,3,0,13
459,29-03-2020,7:30 PM,Ladakh,3,0,13
486,30-03-2020,9:30 PM,Ladakh,3,0,13
514,31-03-2020,8:30 PM,Ladakh,3,0,13
544,01-04-2020,7:30 PM,Ladakh,3,0,13
573,02-04-2020,6:00 PM,Ladakh,3,0,13
603,03-04-2020,6:00 PM,Ladakh,3,0,14
634,04-04-2020,6:00 PM,Ladakh,3,0,14
664,05-04-2020,6:00 PM,Ladakh,10,0,14
694,06-04-2020,6:00 PM,Ladakh,10,0,14
724,07-04-2020,6:00 PM,Ladakh,10,0,14
