,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
557,01-04-2020,7:30 PM,West Bengal,6,3,37
586,02-04-2020,6:00 PM,West Bengal,6,3,53
616,03-04-2020,6:00 PM,West Bengal,3,3,63
647,04-04-2020,6:00 PM,West Bengal,3,3,69
677,05-04-2020,6:00 PM,West Bengal,10,3,80
707,06-04-2020,6:00 PM,West Bengal,10,3,80
738,07-04-2020,6:00 PM,West Bengal,13,3,91
769,08-04-2020,5:00 PM,West Bengal,13,5,99
800,09-04-2020,5:00 PM,West Bengal,16,5,103
831,10-04-2020,5:00 PM,West Bengal,16,5,116
862,11-04-2020,5:00 PM,West Bengal,16,5,126
893,12-04-2020,5:00 PM,West Bengal,19,5,134
925,13-04-2020,5:00 PM,West Bengal,29,7,152
958,14-04-2020,5:00 PM,West Bengal,36,7,190
991,15-04-2020,5:00 PM,West Bengal,37,7,213
1024,16-04-2020,5:00 PM,West Bengal,42,7,231
1057,17-04-2020,5:00 PM,West Bengal,51,10,255
1090,18-04-2020,5:00 PM,West Bengal,55,10,287
1123,19-04-2020,5:00 PM,West Bengal,62,12,310
1156,20-04-2020,5:00 PM,West Bengal,66,12,339
1189,21-04-2020,5:00 PM,West Bengal,73,12,392
1221,22-04-2020,5:00 PM,West Bengal,73,15,423
1253,23-04-2020,5:00 PM,West Bengal,79,15,456
1285,24-04-2020,5:00 PM,West Bengal,103,15,514
1317,25-04-2020,5:00 PM,West Bengal,103,18,571
1349,26-04-2020,5:00 PM,West Bengal,105,18,611
1381,27-04-2020,5:00 PM,West Bengal,105,20,649
1413,28-04-2020,5:00 PM,West Bengal,109,20,697
1445,29-04-2020,5:00 PM,West Bengal,119,22,725
1477,30-04-2020,5:00 PM,West Bengal,124,22,758
1509,01-05-2020,5:00 PM,West Bengal,139,33,795
1541,02-05-2020,5:00 PM,West Bengal,139,33,795
1573,03-05-2020,5:00 PM,West Bengal,151,33,922
1605,04-05-2020,5:00 PM,West Bengal,151,35,963
1637,05-05-2020,5:00 PM,West Bengal,218,133,1259
1670,06-05-2020,8:00 AM,West Bengal,364,140,1344
1703,07-05-2020,8:00 AM,West Bengal,364,144,1456
1736,08-05-2020,8:00 AM,West Bengal,364,151,1548
1769,09-05-2020,8:00 AM,West Bengal,364,160,1678
1802,10-05-2020,8:00 AM,West Bengal,372,171,1786
1835,11-05-2020,8:00 AM,West Bengal,417,185,1939
